,C_mam,C_satl,C_sati,C_opt,C_thy,C_cart,C_ion,C_car,C_pm,C_bre,AVG_AUC,AVG_RANK
IForest,0.4405,1.0,1.0,0.9867,1.0,1.0,0.9745,0.8193,1.0,1.0,0.9221,5.1364
LOF,0.9661,1.0,1.0,0.9583,0.9962,1.0,1.0,0.9815,1.0,0.9618,0.9864,4.8636
OCSVM,0.9593,1.0,1.0,0.9786,0.9937,1.0,1.0,0.9604,1.0,0.9986,0.9891,4.1364
KNN,0.9418,1.0,1.0,0.9338,0.997,1.0,1.0,0.9749,1.0,0.998,0.9846,4.8636
PCA,0.8291,1.0,1.0,0.0559,0.9907,0.5529,1.0,0.3956,1.0,0.999,0.7823,6.5455
MCM,0.6718,0.9953,0.875,0.9116,1.0,1.0,1.0,0.9703,1.0,0.9956,0.942,6.2273
DRL,1.0,1.0,1.0,0.938,1.0,1.0,1.0,1.0,1.0,0.9958,0.9934,3.5909
Disent,0.9835,1.0,1.0,0.8597,0.9906,1.0,1.0,0.9192,1.0,0.9947,0.9748,5.7727
MemPAE-ws-pos-d64-lr0.001-t0.1,0.979,1.0,1.0,0.9589,0.9998,1.0,1.0,0.9917,1.0,0.9979,0.9927,3.8636
