dataset,IForest,LOF,OCSVM,KNN,PCA,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_dec_mixer-d64-lr0.001-t0.1
C_mam,0.4405,0.9661,0.9593,0.9418,0.8291,0.6718,1.0,0.9835,0.979,0.9756,0.9804,0.8272
C_satl,1.0,1.0,1.0,1.0,1.0,0.9953,1.0,1.0,1.0,1.0,1.0,1.0
C_sati,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0
C_opt,0.9867,0.9583,0.9786,0.9338,0.0559,0.9116,0.938,0.8597,0.9589,0.9493,0.9343,0.928
C_thy,1.0,0.9962,0.9937,0.997,0.9907,1.0,1.0,0.9906,0.9998,0.9973,0.9998,0.9903
C_cart,1.0,1.0,1.0,1.0,0.5529,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C_ion,0.9745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C_car,0.8193,0.9815,0.9604,0.9749,0.3956,0.9703,1.0,0.9192,0.9917,0.9481,0.9399,0.9297
C_pm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C_bre,1.0,0.9618,0.9986,0.998,0.999,0.9956,0.9958,0.9947,0.9979,0.9978,0.9985,0.999
AVG_AUC,0.9221,0.9864,0.9891,0.9846,0.7823,0.942,0.9934,0.9748,0.9927,0.9868,0.9853,0.9674
AVG_RANK,6.7727,6.2727,5.1364,6.4545,8.6364,8.2727,4.6364,7.6364,4.8182,6.0,5.9091,7.4545
