,L_stl,L_camp,L_mam,L_satl,L_sati,L_opt,L_thy,L_cart,L_ion,L_car,L_pm,L_bre,AVG_AUC,AVG_RANK
IForest,0.6528,0.876,0.0856,0.9391,0.4925,0.4132,0.1626,0.8631,0.79,0.6856,0.8712,0.7022,0.6278,8.5385
LOF,0.9239,0.9901,0.7615,0.9813,0.7718,0.7751,0.3276,0.964,0.8935,0.9091,0.9197,0.7976,0.8346,2.5385
OCSVM,0.626,0.895,0.1066,0.9465,0.573,0.5906,0.1778,0.9238,0.9341,0.7903,0.9181,0.7867,0.689,6.2308
KNN,0.9352,0.9886,0.2874,0.9713,0.6188,0.7043,0.2283,0.936,0.944,0.8349,0.9166,0.7638,0.7608,4.5385
PCA,0.5286,0.2025,0.0869,0.8494,0.456,0.0559,0.1603,0.519,0.8293,0.3358,0.8976,0.7871,0.4757,9.0769
AutoEncoder,0.876,0.9499,0.4688,0.9303,0.3106,0.7612,0.3095,0.9468,0.9461,0.8785,0.9095,0.7993,0.7572,4.7692
MCM,0.8823,0.993,0.2491,0.8905,0.2903,0.6471,0.1743,0.9027,0.7079,0.7638,0.9084,0.7745,0.682,7.3077
DRL,0.8406,0.992,0.312,0.9488,0.5199,0.7734,0.3795,0.95,0.9054,0.8861,0.911,0.8061,0.7687,3.6923
Disent,0.5342,0.986,0.3172,0.8401,0.4614,0.6874,0.2407,0.9209,0.8436,0.776,0.8532,0.8346,0.6913,6.5385
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9149,0.9997,0.4273,0.9878,0.8011,0.8411,0.3434,0.9764,0.9561,0.9315,0.9282,0.7961,0.8253,1.7692
