dataset,IForest,LOF,OCSVM,KNN,PCA,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1,MemPAE-mlp-mlp-d256-lr0.1
L_mam,0.0856,0.7615,0.1066,0.2874,0.0869,0.2491,0.312,0.3172,0.4273,0.3747,0.4448,0.0842
L_satl,0.9391,0.9813,0.9465,0.9713,0.8494,0.8905,0.9488,0.8401,0.9878,0.9399,0.9719,0.8508
L_sati,0.4925,0.7718,0.573,0.6188,0.456,0.2903,0.5199,0.4614,0.8011,0.4035,0.5591,0.463
L_opt,0.4132,0.7751,0.5906,0.7043,0.0559,0.6471,0.7734,0.6874,0.8411,0.7622,0.7127,0.5335
L_thy,0.1626,0.3276,0.1778,0.2283,0.1603,0.1743,0.3795,0.2407,0.3434,0.2443,0.3061,0.1622
L_cart,0.8631,0.964,0.9238,0.936,0.519,0.9027,0.95,0.9209,0.9764,0.918,0.9233,0.8971
L_ion,0.79,0.8935,0.9341,0.944,0.8293,0.7079,0.9054,0.8436,0.9561,0.8878,0.8907,0.8127
L_car,0.6856,0.9091,0.7903,0.8349,0.3358,0.7638,0.8861,0.776,0.9315,0.804,0.815,0.7332
L_pm,0.8712,0.9197,0.9181,0.9166,0.8976,0.9084,0.911,0.8532,0.9282,0.9,0.9083,0.8943
L_bre,0.7022,0.7976,0.7867,0.7638,0.7871,0.7745,0.8061,0.8346,0.7961,0.7883,0.7856,0.7885
AVG_AUC,0.6005,0.8101,0.6747,0.7205,0.4977,0.6309,0.7392,0.6775,0.7989,0.7023,0.7317,0.622
AVG_RANK,10.3636,2.2727,6.3636,5.1818,10.5455,9.1818,3.7273,7.4545,1.6364,6.5455,5.0909,9.6364
