reg,head1,head2,head3,head4,reg_abs,head_sum
0.048190083,0.008911162,0.035076566,0.017280094,0.013291434,0.048190083,0.07455926
-0.06949481,0.0074799377,0.016089525,0.012558732,0.01600585,0.06949481,0.052134044
0.20169538,0.02512144,0.014187023,0.026596246,0.01417621,0.20169538,0.08008092
0.07651357,0.014869488,0.014143497,0.010338189,0.010146881,0.07651357,0.049498055
-0.20213859,0.008763744,0.020284813,0.010933223,0.008045505,0.20213859,0.048027284
-0.72904414,0.0039285575,0.0173639,0.010939013,0.0065455036,0.72904414,0.038776975
-0.46078756,0.023395246,0.012902797,0.013060497,0.008265137,0.46078756,0.057623677
0.6229811,0.011125226,0.016595162,0.0098968875,0.0063426923,0.6229811,0.043959968
-0.116437785,0.010503228,0.009706927,0.014969061,0.016368879,0.116437785,0.051548094
0.27374187,0.05690109,0.015879272,0.0068833646,0.006726045,0.27374187,0.08638978
-0.011216885,0.01036825,0.013787586,0.010216779,0.008701493,0.011216885,0.04307411
-0.20401794,0.009354368,0.027516989,0.017495729,0.040655576,0.20401794,0.09502266
-0.10294094,0.015376258,0.01197658,0.016037097,0.03724977,0.10294094,0.080639705
-0.17892706,0.012111939,0.014300747,0.0108397035,0.007499114,0.17892706,0.044751503
-0.109832354,0.0152310105,0.006550485,0.007380559,0.010859964,0.109832354,0.040022016
-0.04895336,0.009958913,0.015020712,0.009329564,0.0073328656,0.04895336,0.041642055
