,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0415,0.0415,0.1816,0.1816,0.0683,0.0683
feature_1,0.047,0.047,0.1851,0.1851,0.0699,0.0699
feature_2,0.0091,0.0091,0.1401,0.1401,0.0527,0.0527
feature_3,0.4953,0.4953,0.1605,0.1605,0.0599,0.0599
feature_4,0.0064,0.0064,0.1701,0.1701,0.0639,0.0639
feature_5,0.005,0.005,0.2594,0.2594,0.0999,0.0999
feature_6,0.0729,0.0729,0.1802,0.1802,0.0676,0.0676
feature_7,0.0172,0.0172,0.233,0.233,0.0856,0.0856
feature_8,0.1722,0.1722,0.1951,0.1951,0.0735,0.0735
feature_9,0.0926,0.0926,0.1958,0.1958,0.0741,0.0741
feature_10,0.0135,0.0135,0.1845,0.1845,0.0691,0.0691
feature_11,0.0261,0.0261,0.171,0.171,0.0636,0.0636
feature_12,0.0013,0.0013,0.2734,0.2734,0.1025,0.1025
rank_correlation,1.0,1.0,-0.2418,-0.2418,-0.2637,-0.2637
cosine_similarity,1.0,1.0,0.4533,0.4533,0.4521,0.4521
