,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.2097,0.0883,0.1816,0.1816,0.0683,0.0683
feature_1,-0.2154,0.0907,0.1851,0.1851,0.0699,0.0699
feature_2,0.0369,0.0155,0.1401,0.1401,0.0527,0.0527
feature_3,0.5408,0.2278,0.1605,0.1605,0.0599,0.0599
feature_4,0.116,0.0488,0.1701,0.1701,0.0639,0.0639
feature_5,0.1173,0.0494,0.2594,0.2594,0.0999,0.0999
feature_6,-0.197,0.083,0.1802,0.1802,0.0676,0.0676
feature_7,-0.078,0.0329,0.233,0.233,0.0856,0.0856
feature_8,-0.2164,0.0911,0.1951,0.1951,0.0735,0.0735
feature_9,-0.262,0.1104,0.1958,0.1958,0.0741,0.0741
feature_10,0.151,0.0636,0.1845,0.1845,0.0691,0.0691
feature_11,-0.2104,0.0886,0.171,0.171,0.0636,0.0636
feature_12,0.0232,0.0098,0.2734,0.2734,0.1025,0.1025
rank_correlation,-0.2418,1.0,-0.1703,-0.1703,-0.1978,-0.1978
cosine_similarity,0.2146,1.0,0.766,0.766,0.7655,0.7655
